x1,x2,c,y
-0.444275454171,-0.43703569856,0.0,41.0
-0.560661977847,-0.642826338266,0.0,54.0
-0.485010737458,-0.663647895322,0.0,43.0
-0.54902332548,-0.688957757281,0.0,45.0
-0.537384673112,-0.483060004229,0.0,41.0
-0.560661977847,-0.610315693282,0.0,63.0
-0.432636801803,-0.475406705329,0.0,42.0
-0.554842651663,-0.600841220825,0.0,40.0
-0.566481304031,-0.549985499636,0.0,61.0
-0.444275454171,-0.445871486865,0.0,95.0
-0.246418363921,-0.245449976195,0.0,61.0
-0.444275454171,-0.314747802717,0.0,52.0
-0.496649389825,-0.402442389901,0.0,107.0
-0.176586449716,-0.331749183075,0.0,70.0
-0.391901518517,-0.408927283617,0.0,59.0
-0.455914106539,-0.495346966591,0.0,75.0
-0.362804887598,-0.325692978294,0.0,93.0
-0.258057016289,-0.166553301525,0.0,73.0
-0.374443539965,-0.184123698737,0.0,101.0
-0.211502406819,-0.166749950234,0.0,90.0
-0.27551499484,-0.240923920794,0.0,121.0
-0.0951158831423,-0.117634722888,0.0,125.0
-0.0718385784071,-0.0890326941351,0.0,194.0
0.329694928276,0.240500186625,0.0,213.0
0.440262125768,0.421181994889,0.0,266.0
0.74868641351,0.907372258199,0.0,283.0
0.847614958635,1.00440358812,0.0,563.0
2.4770262901,2.42486081851,0.0,851.0
4.15299223104,4.08900432196,0.0,1222.0
