Id,category
Bellingen,0
Pokolbin,0
Lakes Entrance,0
Blue Mountains National Park,0
Tamworth,0
Brooklyn,0
Newcastle,0
Maitland,0
Hahndorf,0
Port Macquarie,0
Sydney,0
Blue Mountains,0
Byron Bay,0
Camden Haven,0
Nelson Bay - Corlette,0
Central Coast,0
Salamander Bay - Soldiers Point,0
Lobethal,0
Crafers - Bridgewater,1
Geelong,1
Willunga Hill,1
Willunga,1
Falls Creek,1
Victor Harbor - Goolwa,1
Bright,1
Mount Gambier,1
Ballarat,1
Aireys Inlet - Fairhaven,1
Port Campbell,1
Robe,1
Ocean Grove - Barwon Heads,1
Princetown,1
Point Lonsdale - Queenscliff,1
Petermann,1
Mclaren Vale,1
Melbourne,1
Torquay - Jan Juc,1
Lorne,1
Arthurs Seat,1
Warrnambool,1
Apollo Bay,1
Adelaide,1
Gladstone,2
Port Douglas - Craiglie,2
Victoria,2
Fraser Island,2
South Australia,2
Western Australia,2
Wagga Wagga,2
Brisbane,2
Townsville,2
Sunshine Coast,2
Darwin,2
Hervey Bay,2
Airlie Beach - Cannonvale,2
Bundaberg,2
Gold Coast,2
Gympie,2
Alice Springs,2
Melbourne Airport,2
Rockhampton,2
Toowoomba,2
Tweed Heads,2
Mackay,2
Cairns,2
Yeppoon,2
New South Wales,2
